@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_20_58.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_20_58.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:52:39"
@ Model_directory %s "model/"
@ Q1 %le 0.5438468038222201
@ Q2 %le 0.6114706137172647
@ RMSbetabeat %le 1.3398451604714783
@ RescalingFactor %le -0.21538529289314523
@ FILENAME %s "getampbetay.out"
*                 NAME                    S                COUNT                 BETY              BETYSTD              BETYMDL               MUYMDL            DELTABETY              BETYRES           BETYSTDRES
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                MQC2LE            2.2500008                    1      0.3764853112299                    0          291.1407337            0.2499778     -0.9987068614328    -0.08108939902922                   -0
               MQLC3LE           12.9355133                    1       11.64075646242                    0            7.6774363            0.2953789      0.5162296380656      -2.507247740156                   -0
               MQLC7LE           27.2720861                    1       7.495679445684                    0          227.9670433            0.7492946     -0.9671194601764      -1.614459112842                   -0
               MQLB1LE           55.2235731                    1       19.73836694979                    0          227.9626232            1.2500394     -0.9134140208043      -4.251353946713                   -0
               MQLB4LE           77.1787307                    1       23.41554608025                    0           18.1118897            1.9465966      0.2928273343143      -5.043364250747                   -0
               MQLA2LE           98.9121927                    1       18.31218845863                    0           17.1404258            2.4533248      0.0683625174954      -3.944176074677                   -0
               MQLA5LE          119.0986538                    1        7.83025969835                    0          234.1217208              2.94926     -0.9665547490784      -1.686522778559                   -0
                MQD3E1          164.5639584                    1       2.884655342343                    0           20.9498176            3.4064553     -0.8623064220691     -0.6213123358063                   -0
                MQEAE4          230.8020191                    1       28.10470109414                    0            7.6858431            4.3815318       2.656684208678      -6.053339276837                   -0
                MQD3E4          270.0136808                    1       15.01731453954                    0           20.9498176            5.0411482     -0.2831768358908      -3.234508690568                   -0
                MQEAE6          306.4724249                    1       35.72550026922                    0            7.6858431            5.5047961       3.648221386307      -7.694747339241                   -0
              MQTATNE1          354.4092937                    1       9.509695237238                    0           14.5078121            6.2268103     -0.3445121034316      -2.048248493997                   -0
              MQTATNE2          397.7476034                    1         11.350526779                    0           14.5078121            6.6685508     -0.2176265655525      -2.444736534786                   -0
                MQEAE8          472.7108711                    1       10.24553461642                    0            7.6858431            7.7060253      0.3330397827692      -2.206737474205                   -0
                MQD3E8          511.9225329                    1       16.01113642077                    0           20.9498176            8.3656416      -0.235738624246       -3.44856330754                   -0
               MQEAE10          548.3812769                    1       23.50427719828                    0            7.6858431            8.8292895       2.058126075755      -5.062475628592                   -0
               MQEAE11          597.0252838                    1      0.6155806216046                    0            7.6858431            9.6370935     -0.9199072094505     -0.1325870124836                   -0
               MQR2NE1          696.7698054                    1       9.007382991884                    0            9.2517301             10.85891    -0.02641096373052      -1.940057823908                   -0
               MQFRNE3          753.3246054                    1       24.31513346318                    0            9.2517568           11.4337841       1.628163924843      -5.237122142703                   -0
               MQDRNE5          781.6020054                    1       60.32416246378                    0           30.1970047           11.7122452      0.9976869581301       -12.9929374008                   -0
               MQEAE13           881.197528                    1       12.23683399947                    0            7.6858431           12.8899378      0.5921264382138      -2.635634075061                   -0
               MQD3E12          947.4355886                    1       6.218915364752                    0           20.9498176           13.8650143     -0.7031518133718      -1.339462907315                   -0
               MQEAE16          983.8943327                    1       16.28254006302                    0            7.6858431           14.3286622       1.118510598144      -3.507019660518                   -0
               MQD3E14         1023.1059944                    1      0.7326123460291                    0           20.9498176           14.9882786     -0.9650301324805     -0.1577939247266                   -0
               MQEAE18         1059.5647385                    1       2.104656850946                    0            7.6858431           15.4519265     -0.7261644788265     -0.4533121322806                   -0
              MQTANFE1         1107.5016074                    1       10.35338861749                    0           14.5078121           16.1739407      -0.286357684665      -2.229967639814                   -0
               MQD3E16         1189.3444407                    1       14.52838371694                    0           20.9498176           17.1895078     -0.3065150258426      -3.129200182137                   -0
               MQEAE20         1225.8031848                    1       2.872897057661                    0            7.6858431           17.6531557     -0.6262092498791     -0.6187797742161                   -0
               MQD3E18         1265.0148465                    1       3.495558804073                    0           20.9498176            18.312772     -0.8331460984141     -0.7528919568405                   -0
               MQEAE22         1301.4735906                    1       4.981621638791                    0            7.6858431           18.7764199     -0.3518444790018      -1.072968035754                   -0
               MQEAE23         1350.1175975                    1       21.24528509816                    0            7.6858431           19.5842239       1.764210096634      -4.575921953466                   -0
                 MQI6E         1404.3012987                    1       12.26935872179                    0           27.8083512           20.2018289     -0.5587887022302      -2.642639421904                   -0
                 MQI5E         1418.7440064                    1       6.566330034057                    0           69.7334913           20.2546404     -0.9058367806968      -1.414290917618                   -0
                 MQI4E         1424.1361014                    1       6.544000079815                    0           30.1163345           20.2734103      -0.782709277591      -1.409481373884                   -0
                MQX2RE         1494.6206604                    1       4.129112569228                    0           22.2827608           21.2341795     -0.8146947496188     -0.8893501201119                   -0
                 MQM2E         1564.3492168                    1       24.39643873146                    0           28.5508884           22.0286912     -0.1455103466602      -5.254634101725                   -0
                 MQM7E         1608.8759522                    1       11.25861337333                    0           35.6097046           22.6624348     -0.6838330028346      -2.424939738985                   -0
               MQD3E21         1671.2575666                    1       23.23317876459                    0           20.9498176           23.4501631      0.1089919353087       -5.00408501305                   -0
               MQEAE27         1710.4692283                    1       11.38763950974                    0            7.6858431           24.1097794      0.4816383006487      -2.452730071166                   -0
               MQD3E23         1746.9279724                    1       7.038974519691                    0           20.9498176           24.5734273     -0.6640078374863      -1.516091588591                   -0
               MQEAE29         1786.1396341                    1      0.1626834749012                    0            7.6858431           25.2330437      -0.978833359882    -0.03503962789047                   -0
               MQEAE30          1813.166033                    1       14.27125259221                    0            7.6858431           25.5485039      0.8568233057235      -3.073817919526                   -0
              MQTAFOE1         1861.1278611                    1      0.2352596174838                    0           13.8843623           26.2818318     -0.9830557851776    -0.05067146161768                   -0
               MQEAE32         1980.3824571                    1       7.290894532789                    0            7.6858431           27.7624294    -0.05138649879681      -1.570351454398                   -0
               MQD3E29         2065.4852081                    1       3.862605779668                    0           20.9498176           29.0338813     -0.8156258038415     -0.8319484771845                   -0
               MQEAE35         2104.6968698                    1       10.10556087369                    0            7.6858431           29.6934976      0.3148278909943      -2.176589188628                   -0
               MQR2ORE         2203.8099939                    1       38.05047664464                    0            4.7479218           30.8555494       7.014132971744       -8.19551305683                   -0
               MQDROE5         2288.3421939                    1       1.484311165795                    0           29.3993215           32.0959819     -0.9495120604809     -0.3196987951893                   -0
               MQEAE37         2389.8065079                    1       11.54288165053                    0            7.6858431           33.3509534      0.5018367536711       -2.48616694513                   -0
               MQEAE39         2465.4769137                    1       1.033044902845                    0            7.6858431           34.4742177     -0.8655912058829      -0.222502678971                   -0
               MQD3E33         2501.9356578                    1       3.171522909161                    0           20.9498176           34.9378656     -0.8486133402345      -0.683099390707                   -0
               MQEAE41         2541.1473195                    1       9.429327877673                    0            7.6858431           35.5974819      0.2268436598287      -2.030938546718                   -0
              MQTAOTE1         2616.1355465                    1       9.645313909852                    0           13.8843623             36.64627     -0.3053109893386       -2.07745876152                   -0
              MQTAOTE2         2660.4019155                    1       5.149899347942                    0           13.8843623           37.0780795      -0.629086360852      -1.109212579427                   -0
               MQEAE44         2735.3901425                    1       1.856071087633                    0            7.6858431           38.1268676     -0.7585078092951     -0.3997704148404                   -0
               MQEAE45         2784.0341494                    1       6.149386673636                    0            7.6858431           38.9346716     -0.1999073369536      -1.324487449814                   -0
               MQD3E40           2850.27221                    1       43.00971263557                    0           20.9498176           39.9097482       1.052987451097      -9.263659553262                   -0
               MQLA2RE         2920.9780873                    1     0.07936568437113                    0            4.4997139           41.0885679     -0.9823620598698    -0.01709420117394                   -0
               MQLB8RE         2942.8131119                    1       8.632586663148                    0            2.4274661           41.6299859       2.556213066435      -1.859332206868                   -0
               MQLB1RE         2960.9918734                    1       17.60890569771                    0          263.1461398           42.3540933     -0.9330831692568      -3.792699311229                   -0
               MQLC7RE         2989.1433603                    1       18.60416635511                    0          263.1507975            42.854773     -0.9293022611679      -4.007063819427                   -0
               MQLC3RE         3003.3799331                    1         13.107223649                    0           25.6036831           43.3284036     -0.4880727277477      -2.823103204655                   -0
                MQC2RE         3013.8146988                    1       1.570478207811                    0          263.7467378           43.3540103     -0.9940455066064     -0.3382579087718                   -0
                MQC1RE         3015.7846995                    1        1.22517079968                    0           93.6284372           43.3550008     -0.9869145439535     -0.2638837715333                   -0
