@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_21_06.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_21_06.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:52:53"
@ Model_directory %s "model/"
@ FILENAME %s "getcoupleterms.out"
@ DQMIN %le -1.0
@ DQMINE %le 1.48323969742e-08
*                 NAME                    S                 DETC                DETCE                GAMMA               GAMMAE                  C11                  C12                  C21                  C22
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
               MQLB1LE           55.2235731                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTATNE1          354.4092937                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTATNE2          397.7476034                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQFRNE3          753.3246054                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE22         1301.4735906                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                 MQI5E         1418.7440064                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                MQX2RE         1494.6206604                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                 MQM2E         1564.3492168                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTAFOE1         1861.1278611                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTAFOE2         1905.3942301                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE37         2389.8065079                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTAOTE1         2616.1355465                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLB8RE         2942.8131119                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLB1RE         2960.9918734                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
