@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_21_17.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_21_17.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:53:06"
@ Model_directory %s "model/"
@ Q1 %le 0.5438740040082745
@ Q2 %le 0.611119829297848
@ FILENAME %s "getphasey.out"
*                    S               MUYMDL                 NAME                NAME2                   S2               PHASEY               STDPHY               PHYMDL          DELTAPHASEY
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2490992               MQC1LE               MQC2LE            2.2500008      0.6413247183471                  nan            0.0008786     -0.3595538816529
             2.2500008            0.2499778               MQC2LE              MQLC3LE           12.9355133      0.2960395728558                  nan            0.0454011      0.2506384728558
            12.9355133            0.2953789              MQLC3LE              MQLC7LE           27.2720861      0.0303526345205                  nan            0.4539157     -0.4235630654795
            27.2720861            0.7492946              MQLC7LE              MQLB1LE           55.2235731      0.6813358961351                  nan            0.5007448      0.1805910961351
            55.2235731            1.2500394              MQLB1LE              MQLB4LE           77.1787307      0.6938743697663                  nan            0.6965572     -0.0026828302337
            77.1787307            1.9465966              MQLB4LE              MQLA2LE           98.9121927      0.3742936770028                  nan            0.5067282     -0.1324345229972
            98.9121927            2.4533248              MQLA2LE              MQLA5LE          119.0986538     0.02899428176318                  nan            0.4959352     -0.4669409182368
           119.0986538              2.94926              MQLA5LE               MQD3E1          164.5639584      0.7789724905792                  nan            0.4571953      0.3217771905792
           164.5639584            3.4064553               MQD3E1               MQEAE4          230.8020191      0.7178472979906                  nan            0.9750765     -0.2572292020094
           230.8020191            4.3815318               MQEAE4               MQD3E4          270.0136808      0.1856110360098                  nan            0.6596164     -0.4740053639902
           270.0136808            5.0411482               MQD3E4               MQEAE6          306.4724249      0.8291017630519                  nan            0.4636479      0.3654538630519
           306.4724249            5.5047961               MQEAE6             MQTATNE1          354.4092937      0.4670930280734                  nan            0.7220142     -0.2549211719266
           354.4092937            6.2268103             MQTATNE1             MQTATNE2          397.7476034      0.6431971943896                  nan            0.4417405      0.2014566943896
           397.7476034            6.6685508             MQTATNE2               MQEAE8          472.7108711      0.0035053552107                  nan            0.0374745     -0.0339691447893
           472.7108711            7.7060253               MQEAE8               MQD3E8          511.9225329      0.0387662963364                  nan            0.6596163      0.3791499963364
           511.9225329            8.3656416               MQD3E8              MQEAE10          548.3812769      0.5386620419547                  nan            0.4636479      0.0750141419547
           548.3812769            8.8292895              MQEAE10              MQEAE11          597.0252838       0.370202506621                  nan             0.807804      -0.437601493379
           597.0252838            9.6370935              MQEAE11              MQR2NE1          696.7698054      0.9445885440048                  nan            0.2218165     -0.2772279559952
           696.7698054             10.85891              MQR2NE1              MQFRNE3          753.3246054       0.232785008925                  nan            0.5748741      -0.342089091075
           753.3246054           11.4337841              MQFRNE3              MQEAE13           881.197528      0.6107575336546                  nan            0.4561537      0.1546038336546
            881.197528           12.8899378              MQEAE13              MQD3E12          947.4355886      0.1559173347104                  nan            0.9750765      0.1808408347104
           947.4355886           13.8650143              MQD3E12              MQEAE16          983.8943327      0.2822497776045                  nan            0.4636479     -0.1813981223955
           983.8943327           14.3286622              MQEAE16              MQD3E14         1023.1059944      0.4686055372522                  nan            0.6596164     -0.1910108627478
          1023.1059944           14.9882786              MQD3E14              MQEAE18         1059.5647385      0.3886951824004                  nan            0.4636479     -0.0749527175996
          1059.5647385           15.4519265              MQEAE18             MQTANFE1         1107.5016074      0.1680275062668                  nan            0.7220142      0.4460133062668
          1107.5016074           16.1739407             MQTANFE1              MQD3E16         1189.3444407      0.1547449510901                  nan            0.0155671      0.1391778510901
          1189.3444407           17.1895078              MQD3E16              MQEAE20         1225.8031848      0.0992665159518                  nan            0.4636479     -0.3643813840482
          1225.8031848           17.6531557              MQEAE20              MQD3E18         1265.0148465      0.3029984012082                  nan            0.6596163     -0.3566178987918
          1265.0148465            18.312772              MQD3E18              MQEAE22         1301.4735906      0.5592275355166                  nan            0.4636479      0.0955796355166
          1301.4735906           18.7764199              MQEAE22              MQEAE23         1350.1175975      0.4449811896109                  nan             0.807804     -0.3628228103891
          1350.1175975           19.5842239              MQEAE23                MQI6E         1404.3012987      0.0778735171062                  nan             0.617605      0.4602685171062
          1404.3012987           20.2018289                MQI6E                MQI5E         1418.7440064      0.0990352002078                  nan            0.0528115      0.0462237002078
          1418.7440064           20.2546404                MQI5E                MQI4E         1424.1361014         0.3713872416                  nan            0.0187699         0.3526173416
          1424.1361014           20.2734103                MQI4E               MQX2RE         1494.6206604      0.6932348103458                  nan            0.9607692     -0.2675343896542
          1494.6206604           21.2341795               MQX2RE                MQM2E         1564.3492168      0.7308358571634                  nan            0.7945117     -0.0636758428366
          1564.3492168           22.0286912                MQM2E                MQM7E         1608.8759522      0.9148587514118                  nan            0.6337436      0.2811151514118
          1608.8759522           22.6624348                MQM7E              MQEAE25         1634.7988225      0.0842440076484                  nan            0.3240804     -0.2398363923516
          1634.7988225           22.9865152              MQEAE25              MQD3E21         1671.2575666      0.9351967723331                  nan            0.4636479      0.4715488723331
          1671.2575666           23.4501631              MQD3E21              MQEAE27         1710.4692283      0.2059284453169                  nan            0.6596163     -0.4536878546831
          1710.4692283           24.1097794              MQEAE27              MQD3E23         1746.9279724      0.3823474906344                  nan            0.4636479     -0.0813004093656
          1746.9279724           24.5734273              MQD3E23              MQEAE29         1786.1396341      0.7197057433566                  nan            0.6596164      0.0600893433566
          1786.1396341           25.2330437              MQEAE29              MQEAE30          1813.166033      0.5728693200624                  nan            0.3154602      0.2574091200624
           1813.166033           25.5485039              MQEAE30             MQTAFOE1         1861.1278611      0.3100485805563                  nan            0.7333279     -0.4232793194437
          1861.1278611           26.2818318             MQTAFOE1             MQTAFOE2         1905.3942301      0.5327363913857                  nan            0.4318095      0.1009268913857
          1905.3942301           26.7136413             MQTAFOE2              MQEAE32         1980.3824571      0.1719402971828                  nan            0.0487881      0.1231521971828
          1980.3824571           27.7624294              MQEAE32              MQD3E29         2065.4852081      0.7475868379793                  nan            0.2714519      0.4761349379793
          2065.4852081           29.0338813              MQD3E29              MQEAE35         2104.6968698      0.7869377666994                  nan            0.6596163      0.1273214666994
          2104.6968698           29.6934976              MQEAE35              MQR2ORE         2203.8099939      0.8463428532871                  nan            0.1620518     -0.3157089467129
          2203.8099939           30.8555494              MQR2ORE              MQDROE5         2288.3421939      0.4238169992174                  nan            0.2404325      0.1833844992174
          2288.3421939           32.0959819              MQDROE5              MQEAE37         2389.8065079      0.7915354944912                  nan            0.2549715     -0.4634360055088
          2389.8065079           33.3509534              MQEAE37              MQD3E31          2426.265252      0.3846290131456                  nan            0.4636479     -0.0790188868544
           2426.265252           33.8146013              MQD3E31              MQEAE39         2465.4769137      0.8571761919121                  nan            0.6596164      0.1975597919121
          2465.4769137           34.4742177              MQEAE39              MQD3E33         2501.9356578      0.5684462816298                  nan            0.4636479      0.1047983816298
          2501.9356578           34.9378656              MQD3E33              MQEAE41         2541.1473195      0.2914206708608                  nan            0.6596163     -0.3681956291392
          2541.1473195           35.5974819              MQEAE41             MQTAOTE1         2616.1355465      0.3739833519794                  nan            0.0487881      0.3251952519794
          2616.1355465             36.64627             MQTAOTE1             MQTAOTE2         2660.4019155      0.4271307934012                  nan            0.4318095     -0.0046787065988
          2660.4019155           37.0780795             MQTAOTE2              MQEAE44         2735.3901425      0.0133224249731                  nan            0.0487881     -0.0354656750269
          2735.3901425           38.1268676              MQEAE44              MQEAE45         2784.0341494      0.8942130121018                  nan             0.807804      0.0864090121018
