@ ErrorsFrom: %s "Analytical N-BPM method"
@ RCond %le 1e-10
@ RangeOfBPMs %d 11
@ Measure_optics:version %s "0.2.0"
@ FILENAME %s "getbetay.out"
@ Model_directory %s "model/"
@ CALCULATION_TIME %s "0.89 s"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_24_59.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_24_59.sdds/'"
@ RMS_BETABEAT %s "181.664 %"
@ Date %s "14. June 2019, 13:54:16"
@ BetaAlgorithmVersion %s "2018.7.a"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
*                 NAME                    S              BETYMDL              ALFYMDL                 BETY             STATBETY              SYSBETY              ERRBETY                 ALFY             STATALFY              SYSALFY              ERRALFY                 CORR                NCOMB               BBEATY            DELTABETY
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                   %d                  %le                  %le
                MQC1LE            0.5300002           93.6285972         -176.6390896       99.18832939148                    0                    0       378.9845745837      -187.0259139077                    0                    0       1426.161530737                    0                    3     0.05938070587133     0.05938070587133
                MQC2LE            2.2500008          291.1407337             168.5324       283.0790867454                    0                    0       506.6168759694       163.9680335197                    0                    0       587.0662367905                    0                    6     -0.0276898627416     -0.0276898627416
               MQLC7LE           27.2720861          227.9670433            2.7768696       225.6503366577                    0                    0       385.8140972543       2.878826641138                    0                    0        10.0290834101                    0                   10    -0.01016246299787    -0.01016246299787
               MQLB1LE           55.2235731          227.9626232           -2.7726728       153.6873702947                    0                    0       317.3633340741      -1.604574002519                    0                    0       7.521692221018                    0                    5     -0.3258220661909     -0.3258220661909
               MQLA5LE          119.0986538          234.1217208           14.3138633        451.266511052                    0                    0       342.5731333501       29.38386640286                    0                    0       37.77449784299                    0                   34      0.9274867342936      0.9274867342936
                MQD3E1          164.5639584           20.9498176            1.7084092       20.92742532575                    0                    0       24.43415034787       1.528869907067                    0                    0       3.036114485151                    0                   38   -0.001068852945719   -0.001068852945719
                MQD3E4          270.0136808           20.9498176           -1.7084092       47.89185349352                    0                    0       19.77181160399      -4.298230108833                    0                    0       3.001275848559                    0                   32       1.286027229828       1.286027229828
              MQTATNE1          354.4092937           14.5078121           -1.2253565       12.65858286346                    0                    0       17.02563615291     -0.9852927117392                    0                    0       2.576786706685                    0                   32     -0.1274643773844     -0.1274643773844
              MQTATNE2          397.7476034           14.5078121            1.2253565       24.57950194299                    0                    0       20.59254288584       3.428537562573                    0                    0       3.931291459009                    0                   32      0.6942252748773      0.6942252748773
                MQEAE8          472.7108711            7.6858431            1.2526734       16.41236224543                    0                    0       9.038428639934       4.058971349515                    0                    0       3.601684574492                    0                   26       1.135401677069       1.135401677069
                MQD3E8          511.9225329           20.9498176           -1.7084092       12.73543091678                    0                    0       24.41632651779     -0.4077076058138                    0                    0       4.777670246715                    0                   27     -0.3920982435292     -0.3920982435292
               MQDRNE5          781.6020054           30.1970047            1.9356985       59.84315619265                    0                    0       30.25744343362       5.855076271413                    0                    0       4.640729650047                    0                   22      0.9817580182928      0.9817580182928
               MQEAE13           881.197528            7.6858431           -1.2526734       2.016748384563                    0                    0       11.63164036893      -1.223621946379                    0                    0       4.901706128128                    0                   34     -0.7376021916758     -0.7376021916758
               MQD3E12          947.4355886           20.9498176           -1.7084092       39.98621655078                    0                    0       29.01985352208      -2.783032788989                    0                    0       5.635862223686                    0                   19      0.9086665723898      0.9086665723898
              MQTANFE1         1107.5016074           14.5078121           -1.2253565       6.959737031318                    0                    0         18.442888586      -2.632911256082                    0                    0       2.434313715709                    0                   18        -0.5202765942        -0.5202765942
               MQEAE20         1225.8031848            7.6858431            1.2526734       17.06886483354                    0                    0       9.044570527805       2.145961063381                    0                    0       3.876078521933                    0                   29       1.220818797816       1.220818797816
               MQD3E18         1265.0148465           20.9498176           -1.7084092       43.10350840304                    0                    0       24.61981404287      -4.094925558189                    0                    0       5.324790995532                    0                   17       1.057464615016       1.057464615016
               MQEAE22         1301.4735906            7.6858431            1.2526734     -0.2834444830909                    0                    0        9.69548767973     -0.9982938708179                    0                    0       2.670091691808                    0                    7      -1.036878775614      -1.036878775614
               MQEAE23         1350.1175975            7.6858431           -1.2526734       6.659967016373                    0                    0       8.939547254894      0.1544179020449                    0                    0       2.310585930766                    0                   22      -0.133476063755      -0.133476063755
                 MQI6E         1404.3012987           27.8083512            1.2057705       18.52565640147                    0                    0       26.85918195554       0.540641551482                    0                    0       2.550631811918                    0                   16     -0.3338096074726     -0.3338096074726
                 MQI5E         1418.7440064           69.7334913            4.4926479        212.060983114                    0                    0         83.079549858       13.77520827229                    0                    0       10.27296689517                    0                   27       2.041020593702       2.041020593702
                 MQI4E         1424.1361014           30.1163345            2.8546183       17.10218933403                    0                    0       38.81555007741       1.169206010079                    0                    0       7.138867591393                    0                   21     -0.4321291213569     -0.4321291213569
                MQX2RE         1494.6206604           22.2827608            0.9330685       20.51922095868                    0                    0       31.46000553501       1.705712678886                    0                    0        2.11869803675                    0                   16    -0.07914368677848    -0.07914368677848
                 MQM2E         1564.3492168           28.5508884            1.3770404       22.52682243734                    0                    0       39.38197573752      0.9262074799128                    0                    0       4.340211237984                    0                   25     -0.2109939935412     -0.2109939935412
               MQD3E21         1671.2575666           20.9498176            1.7084092      -5.413821465484                    0                    0       20.58149933915     -0.2978586616784                    0                    0       3.159292092473                    0                   29      -1.258418548975      -1.258418548975
               MQD3E23         1746.9279724           20.9498176            1.7084092       36.09186088624                    0                    0       24.51421399423       2.799243267164                    0                    0        4.93971582165                    0                   36      0.7227768554051      0.7227768554051
               MQEAE29         1786.1396341            7.6858431           -1.2526734       1.104854178713                    0                    0       10.78122922662     -0.5696980711965                    0                    0       4.288905849307                    0                   24     -0.8562481481423     -0.8562481481423
