@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_27_51.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_27_51.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:55:56"
@ Model_directory %s "model/"
@ Q1 %le 0.5435913236046915
@ Q2 %le 0.6106992661986484
@ RMSbetabeat %le 0.2997500722745665
@ RescalingFactor %le 1.1315070202770028
@ FILENAME %s "getampbetax.out"
*                 NAME                    S                COUNT                 BETX              BETXSTD              BETXMDL               MUXMDL            DELTABETX              BETXRES           BETXSTDRES
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1       1.223874016193                    0            2.9087358            0.2203223      -0.579241945524       1.384822041257                    0
                MQC2LE            2.2500008                    1       227.5810864952                    0          142.9688048            0.2410243      0.5918233828249       257.5095970516                    0
               MQLC3LE           12.9355133                    1       43.37750199935                    0           26.9933253            0.2616968      0.6069714093116       49.08194803434                    0
               MQLC7LE           27.2720861                    1       10.30323226703                    0            9.3764221            0.4721468     0.09884475732326       11.65817964169                    0
               MQLB1LE           55.2235731                    1       12.63361947441                    0           12.5617527            0.9879476    0.005721078588733        14.2950291268                    0
               MQLB4LE           77.1787307                    1       44.30618712262                    0           35.3516866            1.3202075      0.2532976891297       50.13276177095                    0
               MQLA2LE           98.9121927                    1       53.72818810715                    0           36.8830728            1.8242478      0.4567167003275       60.79382203001                    0
               MQLA5LE          119.0986538                    1       11.87535273661                    0           10.0415612            2.3120774      0.1826201623516       13.43704498974                    0
                MQD3E1          164.5639584                    1       7.340406807115                    0            7.4403317            3.0072166    -0.01343016641118       8.305721833939                    0
                MQEAE4          230.8020191                    1       38.32781506422                    0           48.5050151            4.0807687     -0.2098174800028       43.36819181704                    0
                MQD3E4          270.0136808                    1       6.715458604247                    0            7.4403317            4.6861856    -0.09742483601276       7.598588555085                    0
                MQEAE6          306.4724249                    1       52.27957288202                    0           48.5050151            5.2289045     0.07781788695942       59.15470373309                    0
              MQTATNE1          354.4092937                    1       36.52795738201                    0           45.9537751            5.9292318     -0.2051151988596       41.33164021413                    0
              MQTATNE2          397.7476034                    1       38.11347437519                    0           45.9537751            6.4015278     -0.1706127670197       43.12566382267                    0
                MQEAE8          472.7108711                    1       37.53706600198                    0           48.5050151            7.5699902     -0.2261198986415       42.47345370185                    0
                MQD3E8          511.9225329                    1       6.243859321697                    0            7.4403317            8.1754072     -0.1608090104777       7.064970656122                    0
