@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_27_51.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_27_51.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:55:56"
@ Model_directory %s "model/"
@ Q1 %le 0.5435913236046915
@ Q2 %le 0.6106992661986484
@ FILENAME %s "getphasetoty.out"
*                    S               MUYMDL                 NAME                NAME2                   S2               PHASEY               STDPHY               PHYMDL          DELTAPHASEY
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2490992               MQC1LE               MQC1LE            0.5300002                    0                  nan                    0                    0
             2.2500008            0.2499778               MQC2LE               MQC1LE            0.5300002      0.1215879776411                  nan            0.0008786      0.1207093776411
            12.9355133            0.2953789              MQLC3LE               MQC1LE            0.5300002      0.2096547769852                  nan            0.0462797      0.1633750769852
            27.2720861            0.7492946              MQLC7LE               MQC1LE            0.5300002      0.5364975655967                  nan            0.5001954      0.0363021655967
            55.2235731            1.2500394              MQLB1LE               MQC1LE            0.5300002       0.604624084732                  nan   0.0009401999999998      -0.396316115268
            77.1787307            1.9465966              MQLB4LE               MQC1LE            0.5300002      0.7824701527039                  nan            0.6974974     0.08497275270387
           119.0986538              2.94926              MQLA5LE               MQC1LE            0.5300002      0.6722112324025                  nan            0.7001608     -0.0279495675975
           164.5639584            3.4064553               MQD3E1               MQC1LE            0.5300002      0.0010306230577                  nan            0.1573561     -0.1563254769423
           230.8020191            4.3815318               MQEAE4               MQC1LE            0.5300002      0.3795724859639                  nan            0.1324326      0.2471398859639
           270.0136808            5.0411482               MQD3E4               MQC1LE            0.5300002      0.9576901220898                  nan             0.792049      0.1656411220898
           306.4724249            5.5047961               MQEAE6               MQC1LE            0.5300002      0.7917568030998                  nan            0.2556969     -0.4639400969002
           354.4092937            6.2268103             MQTATNE1               MQC1LE            0.5300002      0.5219327135985                  nan            0.9777111     -0.4557783864015
           397.7476034            6.6685508             MQTATNE2               MQC1LE            0.5300002       0.537607853848                  nan            0.4194516       0.118156253848
           472.7108711            7.7060253               MQEAE8               MQC1LE            0.5300002      0.3765371420181                  nan            0.4569261     -0.0803889579819
           511.9225329            8.3656416               MQD3E8               MQC1LE            0.5300002      0.6921907980152                  nan            0.1165424     -0.4243516019848
           548.3812769            8.8292895              MQEAE10               MQC1LE            0.5300002      0.4458819738634                  nan            0.5801903     -0.1343083261366
           597.0252838            9.6370935              MQEAE11               MQC1LE            0.5300002       0.942461580741                  nan            0.3879943      -0.445532719259
           696.7698054             10.85891              MQR2NE1               MQC1LE            0.5300002      0.5878943261839                  nan            0.6098108     -0.0219164738161
           753.3246054           11.4337841              MQFRNE3               MQC1LE            0.5300002      0.8624497816689                  nan            0.1846849     -0.3222351183311
