@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_28_32.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_28_32.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:56:43"
@ Model_directory %s "model/"
@ Q1 %le 0.5436733439516476
@ Q2 %le 0.6111203238554305
@ FILENAME %s "getphasex.out"
*                    S               MUXMDL                 NAME                NAME2                   S2               PHASEX               STDPHX               PHXMDL          DELTAPHASEX
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2203223               MQC1LE               MQC2LE            2.2500008      0.0184034513936                  nan             0.020702     -0.0022985486064
             2.2500008            0.2410243               MQC2LE              MQLC3LE           12.9355133       0.020368788319                  nan            0.0206725  -0.0003037116810001
            12.9355133            0.2616968              MQLC3LE              MQLC7LE           27.2720861      0.2211290282504                  nan              0.21045      0.0106790282504
            27.2720861            0.4721468              MQLC7LE              MQLB1LE           55.2235731      0.5165275954894                  nan            0.5158008   0.0007267954893998
            55.2235731            0.9879476              MQLB1LE              MQLB4LE           77.1787307      0.3243920371779                  nan            0.3322599     -0.0078678628221
            77.1787307            1.3202075              MQLB4LE              MQLA2LE           98.9121927      0.5042475397304                  nan            0.5040403   0.0002072397303999
            98.9121927            1.8242478              MQLA2LE              MQLA5LE          119.0986538       0.487392665702                  nan            0.4878296  -0.0004369342980002
           119.0986538            2.3120774              MQLA5LE               MQD3E1          164.5639584      0.7016905724891                  nan            0.6951392      0.0065513724891
           164.5639584            3.0072166               MQD3E1               MQEAE4          230.8020191      0.0750172707847                  nan            0.0735521      0.0014651707847
           230.8020191            4.0807687               MQEAE4               MQD3E4          270.0136808      0.6029779879822                  nan            0.6054169    -0.00243891201775
           270.0136808            4.6861856               MQD3E4               MQEAE6          306.4724249      0.5396856339777                  nan            0.5427189    -0.00303326602235
           306.4724249            5.2289045               MQEAE6             MQTATNE1          354.4092937      0.6894515375931                  nan            0.7003273     -0.0108757624069
           354.4092937            5.9292318             MQTATNE1             MQTATNE2          397.7476034        0.47297594557                  nan             0.472296        0.00067994557
           397.7476034            6.4015278             MQTATNE2               MQEAE8          472.7108711      0.1790407864955                  nan            0.1684624     0.01057838649547
           472.7108711            7.5699902               MQEAE8               MQD3E8          511.9225329      0.6081714109284                  nan             0.605417     0.00275441092843
           511.9225329            8.1754072               MQD3E8              MQEAE10          548.3812769      0.5425385966152                  nan            0.5427188  -0.0001802033847895
           548.3812769             8.718126              MQEAE10              MQEAE11          597.0252838      0.6707865024689                  nan            0.6800007   -0.009214197531111
           597.0252838            9.3981267              MQEAE11              MQR2NE1          696.7698054      0.5227962530831                  nan            0.5224928   0.0003034530830998
           696.7698054           10.9206195              MQR2NE1              MQFRNE3          753.3246054      0.6198765181522                  nan            0.6172843      0.0025922181522
           753.3246054           11.5379038              MQFRNE3              MQDRNE5          781.6020054      0.3177888900416                  nan            0.3185172  -0.0007283099583988
           781.6020054            11.856421              MQDRNE5              MQEAE13           881.197528      0.3481029312433                  nan            0.3456713    0.002431631243299
            881.197528           13.2020923              MQEAE13              MQD3E12          947.4355886      0.0701920693837                  nan            0.0735521   -0.003360030616299
           947.4355886           14.2756444              MQD3E12              MQEAE16          983.8943327      0.5436591013213                  nan            0.5427189   0.0009402013212993
           983.8943327           14.8183633              MQEAE16              MQD3E14         1023.1059944      0.6068675477942                  nan            0.6054169      0.0014506477942
          1023.1059944           15.4237802              MQD3E14              MQEAE18         1059.5647385      0.5455000047614                  nan            0.5427189    0.002781104761399
          1059.5647385           15.9664991              MQEAE18             MQTANFE1         1107.5016074      0.6945413954938                  nan            0.7003272   -0.005785804506203
          1107.5016074           16.6668263             MQTANFE1              MQD3E16         1189.3444407     0.08916720120783                  nan            0.0980397   -0.008872498792168
          1189.3444407            17.764866              MQD3E16              MQEAE20         1225.8031848      0.5449824425239                  nan            0.5427188    0.002263642523871
          1225.8031848           18.3075848              MQEAE20              MQD3E18         1265.0148465      0.6073240942862                  nan             0.605417    0.001907094286201
          1265.0148465           18.9130018              MQD3E18              MQEAE22         1301.4735906      0.5455649587172                  nan            0.5427188    0.002846158717201
          1301.4735906           19.4557206              MQEAE22              MQEAE23         1350.1175975      0.6847470660972                  nan            0.6800006      0.0047464660972
          1350.1175975           20.1357212              MQEAE23                MQI6E         1404.3012987       0.007121042369                  nan            0.0077888  -0.0006677576310001
          1404.3012987             21.14351                MQI6E                MQI5E         1418.7440064       0.112130654298                  nan            0.1179528   -0.005822145702001
          1418.7440064           21.2614628                MQI5E                MQI4E         1424.1361014      0.0135091745397                  nan            0.0140267  -0.0005175254602987
          1424.1361014           21.2754895                MQI4E               MQX2RE         1494.6206604      0.3705113656473                  nan            0.3617457     0.00876566564732
