@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_28_44.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_28_44.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:56:58"
@ Model_directory %s "model/"
@ FILENAME %s "getcouple.out"
@ CG %le nan
@ CG_std %le nan
@ QG %le nan
@ Q1F %le 0.5436251353721478
@ Q2F %le 0.6107033358460618
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
             "MQLC3LE"           12.9355133                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6935022196916      0.1029128012646      0.6649402600527      0.1116784680665                  nan                  nan                  nan                  nan
             "MQLB4LE"           77.1787307                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan     0.02219240109505     0.08571336987812      0.5579098815087     0.03158979633341                  nan                  nan                  nan                  nan
              "MQD3E8"          511.9225329                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6567589760947     0.07237212577017      0.6755927730277      0.2064541159903                  nan                  nan                  nan                  nan
             "MQFRNE3"          753.3246054                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.5579926944942     0.04072162132016     0.03770730876505      0.2227895394183                  nan                  nan                  nan                  nan
             "MQD3E12"          947.4355886                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan        0.35997981428      0.1083946455849      0.3214298766172      0.1861535289317                  nan                  nan                  nan                  nan
             "MQEAE23"         1350.1175975                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.1732305157238      0.1848966672056       0.457732994593     0.03061047414416                  nan                  nan                  nan                  nan
               "MQM7E"         1608.8759522                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.829102973922      0.2059216404965      0.8679304167739      0.1220913647882                  nan                  nan                  nan                  nan
             "MQEAE30"          1813.166033                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.4252577846187     0.01249859454929      0.9426451262672      0.2202336645918                  nan                  nan                  nan                  nan
            "MQTAFOE2"         1905.3942301                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.4993860206487      0.1057245392992     0.06989018105205   0.0008683022331176                  nan                  nan                  nan                  nan
             "MQD3E29"         2065.4852081                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.1642441962408    0.003048620425604       0.247844431636      0.1345581770199                  nan                  nan                  nan                  nan
             "MQD3E33"         2501.9356578                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan    0.002516356710749     0.03594360719948      0.5873153631025     0.09677737389196                  nan                  nan                  nan                  nan
             "MQLA2RE"         2920.9780873                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.193515115558     0.06962272414651      0.3124295106785     0.07894614982485                  nan                  nan                  nan                  nan
             "MQLB1RE"         2960.9918734                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.3520527204291      0.1845371393149      0.2948049620417     0.05412492182401                  nan                  nan                  nan                  nan
