@ ErrorsFrom: %s "Analytical N-BPM method"
@ RCond %le 1e-10
@ RangeOfBPMs %d 11
@ Measure_optics:version %s "0.2.0"
@ FILENAME %s "getbetax.out"
@ Model_directory %s "model/"
@ CALCULATION_TIME %s "1.54 s"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ RMS_BETABEAT %s "10.939 %"
@ Date %s "14. June 2019, 13:57:59"
@ BetaAlgorithmVersion %s "2018.7.a"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
*                 NAME                    S              BETXMDL              ALFXMDL                 BETX             STATBETX              SYSBETX              ERRBETX                 ALFX             STATALFX              SYSALFX              ERRALFX                 CORR                NCOMB               BBEATX            DELTABETX
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                   %d                  %le                  %le
                MQC1LE            0.5300002            2.9087358           -5.2990847       2.410041372359                    0                    0       3.788119521761      -4.384731594848                    0                    0        13.9646278281                    0                   41     -0.1714471378392     -0.1714471378392
                MQC2LE            2.2500008          142.9688048         -106.7116067        109.176884101                    0                    0       202.5031522066       -80.6726137226                    0                    0       300.9927798381                    0                   34     -0.2363586989923     -0.2363586989923
               MQLC3LE           12.9355133           26.9933253            1.1608736       24.27592932495                    0                    0       43.27172062008       1.174038473466                    0                    0       4.751542009183                    0                   36     -0.1006691819125     -0.1006691819125
               MQLC7LE           27.2720861            9.3764221           -1.0647787       9.647426012864                    0                    0       14.56649537724      -1.232041314341                    0                    0       4.317307344435                    0                   45     0.02890269976908     0.02890269976908
               MQLB1LE           55.2235731           12.5617527           -1.9840866       12.03778091934                    0                    0       15.60210332444      -2.014514980477                    0                    0        5.47106373747                    0                   45    -0.04171167775474    -0.04171167775474
               MQLB4LE           77.1787307           35.3516866            4.2598365        33.6784661596                    0                    0       32.36839707869       4.124456018305                    0                    0        7.79757852033                    0                   28    -0.04733071039387    -0.04733071039387
               MQLA2LE           98.9121927           36.8830728           -6.1504106       36.22458037302                    0                    0       32.61916408879      -5.899239010792                    0                    0       10.61847429151                    0                   35    -0.01785351319698    -0.01785351319698
               MQLA5LE          119.0986538           10.0415612           -3.1555304       10.78880182895                    0                    0       9.448682026715      -3.279683618848                    0                    0       5.670181651018                    0                   36     0.07441478611373     0.07441478611373
                MQD3E1          164.5639584            7.4403317            0.2028379       6.224308314314                    0                    0       7.176324180874      0.1010695421481                    0                    0      0.9997373881879                    0                   45     -0.1634367168987     -0.1634367168987
                MQEAE4          230.8020191           48.5050151           -5.6463304       45.18262944165                    0                    0       43.92979283541      -5.428424739356                    0                    0       10.27721897474                    0                   45    -0.06849571434013    -0.06849571434013
                MQD3E4          270.0136808            7.4403317           -0.2028379       8.306468698092                    0                    0       6.229660781826     -0.3432313082924                    0                    0       1.039603819391                    0                   45      0.1164110731907      0.1164110731907
                MQEAE6          306.4724249           48.5050151           -5.6463304       56.40427205062                    0                    0       43.00353162842      -6.597546326215                    0                    0       10.00656959743                    0                   36       0.162854437512       0.162854437512
              MQTATNE1          354.4092937           45.9537751            4.4063204       42.49601263383                    0                    0        44.2402592318       4.233794518635                    0                    0       8.467563166122                    0                   44    -0.07524436150563    -0.07524436150563
              MQTATNE2          397.7476034           45.9537751           -4.4063204       42.87599738877                    0                    0       46.68595545704      -3.920417257311                    0                    0       9.005505855425                    0                   35    -0.06697551407983    -0.06697551407983
                MQEAE8          472.7108711           48.5050151           -5.6463304       43.64891823893                    0                    0       36.73657543456      -5.146476914775                    0                    0       8.666876416407                    0                   43     -0.1001153561351     -0.1001153561351
                MQD3E8          511.9225329            7.4403317           -0.2028379       7.556708111722                    0                    0       8.166953027334     -0.3059860853276                    0                    0       0.956004863128                    0                   43     0.01564129348191     0.01564129348191
               MQEAE10          548.3812769           48.5050151           -5.6463304       51.81668097733                    0                    0       48.75808216113      -6.119883674956                    0                    0        11.0450373166                    0                   34     0.06827471078005     0.06827471078005
               MQEAE11          597.0252838           48.5050151            5.6463304       48.83085220004                    0                    0       48.29571787187       5.760621958953                    0                    0       11.04411637882                    0                   35    0.006717596095349    0.006717596095349
               MQR2NE1          696.7698054           28.8232835            1.9137339       28.00227974181                    0                    0       26.81957171461       1.904420638387                    0                    0       3.474886000652                    0                   44    -0.02848404687097    -0.02848404687097
               MQFRNE3          753.3246054           28.8233021            1.9137359       27.56815827261                    0                    0       23.50978321488       1.839221066006                    0                    0       3.152281419172                    0                   45    -0.04354614967561    -0.04354614967561
               MQDRNE5          781.6020054            8.5241331            -0.615502       8.615625041417                    0                    0       6.991734343044     -0.5744326652688                    0                    0       1.797201129187                    0                   45     0.01073328400006     0.01073328400006
               MQEAE13           881.197528           48.5050151            5.6463304       48.66039086817                    0                    0       50.97713808989        5.67351665878                    0                    0       12.24319768151                    0                   45    0.003203292852221    0.003203292852221
               MQD3E12          947.4355886            7.4403317           -0.2028379       7.246719489263                    0                    0       6.811973548678     -0.2043327074302                    0                    0       1.160871020094                    0                   45    -0.02602198645755    -0.02602198645755
               MQEAE16          983.8943327           48.5050151           -5.6463304       45.56865691924                    0                    0       41.40758378301       -5.32333174933                    0                    0       9.478116099585                    0                   45    -0.06053720784765    -0.06053720784765
               MQD3E14         1023.1059944            7.4403317           -0.2028379       7.006736690447                    0                    0       7.069001258665     -0.2484440334548                    0                    0       1.429962046015                    0                   45    -0.05827630098168    -0.05827630098168
               MQEAE18         1059.5647385           48.5050151           -5.6463304       45.45209140345                    0                    0       52.06493267195       -5.38540625463                    0                    0       12.63496402968                    0                   45    -0.06294037204723    -0.06294037204723
              MQTANFE1         1107.5016074           45.9537751            4.4063204       48.35555952365                    0                    0        44.0013449254       4.661295104073                    0                    0       8.606482749092                    0                   45     0.05226522561914     0.05226522561914
               MQD3E16         1189.3444407            7.4403317           -0.2028379       7.620976257346                    0                    0       6.285430198249    -0.06532517841619                    0                    0       1.131161199677                    0                   45     0.02427909999578     0.02427909999578
               MQEAE20         1225.8031848           48.5050151           -5.6463304       46.84060537363                    0                    0       37.76420403225      -5.304220098503                    0                    0       8.790376971316                    0                   45    -0.03431417808945    -0.03431417808945
               MQD3E18         1265.0148465            7.4403317           -0.2028379       6.512240389175                    0                    0        7.46199193915     -0.1465611943526                    0                    0       1.238915063933                    0                   45      -0.124737894525      -0.124737894525
               MQEAE22         1301.4735906           48.5050151           -5.6463304       42.98761015517                    0                    0        45.5918420014      -5.027966266427                    0                    0       10.65177994111                    0                   45     -0.1137491645648     -0.1137491645648
               MQEAE23         1350.1175975           48.5050151            5.6463304        52.8161822008                    0                    0       46.83723536619       6.089873807626                    0                    0       11.33931096693                    0                   28     0.08888085266873     0.08888085266873
                 MQI6E         1404.3012987           12.5196316           -1.2996081       14.38417047681                    0                    0       11.65501090696       -1.52157774263                    0                    0       2.413079595384                    0                   28      0.1489292126462      0.1489292126462
                 MQI5E         1418.7440064           36.6707357           -4.5163713       38.19222618894                    0                    0       28.77946833496      -4.553020365687                    0                    0       6.914717967204                    0                   44     0.04149059079113     0.04149059079113
                 MQI4E         1424.1361014          102.3414091           -7.6626934        102.744126729                    0                    0       75.49063354121      -7.530842695693                    0                    0       11.09364005129                    0                   43    0.003935040884442    0.003935040884442
                MQX2RE         1494.6206604            79.143814            6.9773227       93.70892562453                    0                    0       77.18547403987       8.270998871531                    0                    0       13.25859487207                    0                   27      0.1840334814358      0.1840334814358
                 MQM2E         1564.3492168           29.3408767           -0.5146595       32.71831910767                    0                    0       27.92182411362     -0.4624781341396                    0                    0       1.490754508476                    0                   45      0.1151104802425      0.1151104802425
                 MQM7E         1608.8759522            5.5669757            0.5811089       4.864357448339                    0                    0       5.725418030598       0.385491965735                    0                    0       1.473435748548                    0                   45     -0.1262118409571     -0.1262118409571
               MQEAE25         1634.7988225           48.5050151            5.6463304       41.10148562191                    0                    0       49.34075419519       4.699522386381                    0                    0       11.03155437121                    0                   45     -0.1526343093147     -0.1526343093147
               MQD3E21         1671.2575666            7.4403317            0.2028379       6.494183368927                    0                    0       7.457300301432     0.02014138011991                    0                    0       1.089433956543                    0                   45     -0.1271648051757     -0.1271648051757
               MQEAE27         1710.4692283           48.5050151            5.6463304       52.78775487391                    0                    0       36.38149964127       5.988199239146                    0                    0       8.361659575157                    0                   45     0.08829478281953     0.08829478281953
               MQD3E23         1746.9279724            7.4403317            0.2028379       8.321838028741                    0                    0       6.503147123372      0.1321019112452                    0                    0       0.983151853923                    0                   45      0.1184767513444      0.1184767513444
               MQEAE29         1786.1396341           48.5050151            5.6463304       54.16089878525                    0                    0       45.97970869548       6.358177574258                    0                    0       10.84122167232                    0                   45      0.1166041011139      0.1166041011139
               MQEAE30          1813.166033           48.5050151           -5.6463304        55.0403991446                    0                    0       43.77540018611      -6.420332525522                    0                    0       10.10590466135                    0                   45      0.1347362542023      0.1347362542023
              MQTAFOE1         1861.1278611           48.1181067            4.8487187       45.81512993883                    0                    0       43.26316550759       4.748476579569                    0                    0       8.558924445822                    0                   45     -0.0478609180433     -0.0478609180433
              MQTAFOE2         1905.3942301           48.1181067           -4.8487187       49.51249103687                    0                    0        44.4060577411      -4.872969537676                    0                    0       9.374930880521                    0                   36      0.0289783707734      0.0289783707734
               MQEAE32         1980.3824571           48.5050151           -5.6463304       45.02596469072                    0                    0       40.02104162258      -5.185461033126                    0                    0       9.268054436617                    0                   44    -0.07172558140864    -0.07172558140864
               MQD3E29         2065.4852081            7.4403317            0.2028379       7.609297876982                    0                    0       7.589374205322      0.1165400324059                    0                    0        1.83792355026                    0                   44     0.02270949519386     0.02270949519386
               MQEAE35         2104.6968698           48.5050151            5.6463304       52.12220060851                    0                    0       41.76404161207       6.064734232082                    0                    0       9.584324887314                    0                   28     0.07457343330474     0.07457343330474
               MQR2ORE         2203.8099939           34.8057218           -3.3658129       31.79641255668                    0                    0       29.09145071744      -3.064914000426                    0                    0       5.471865873822                    0                   44    -0.08646018779937    -0.08646018779937
               MQDROE5         2288.3421939            6.9657018            0.6768551       6.504197380964                    0                    0       6.049332394287      0.5437441164333                    0                    0       1.644927518419                    0                   44    -0.06625382944702    -0.06625382944702
               MQEAE37         2389.8065079           48.5050151            5.6463304        50.0482939726                    0                    0       41.92791332552       5.759781578637                    0                    0       9.609329119263                    0                   36     0.03181689294227     0.03181689294227
               MQD3E31          2426.265252            7.4403317            0.2028379       7.981153637462                    0                    0       6.296549823286      0.0180059720826                    0                    0       1.065752663189                    0                   45     0.07268787995869     0.07268787995869
               MQEAE39         2465.4769137           48.5050151            5.6463304       53.46043881297                    0                    0       43.52052155033       6.265530636295                    0                    0       9.831987517432                    0                   45      0.1021631207155      0.1021631207155
               MQD3E33         2501.9356578            7.4403317            0.2028379        8.00904065145                    0                    0       6.477599439988      0.2994131519232                    0                    0      0.9796308205073                    0                   45     0.07643596742469     0.07643596742469
               MQEAE41         2541.1473195           48.5050151            5.6463304       45.64027493322                    0                    0       41.58789994532         5.3909952926                    0                    0       9.828705732619                    0                   45    -0.05906070044243    -0.05906070044243
              MQTAOTE1         2616.1355465           48.1181067            4.8487187       44.80194721843                    0                    0       43.43945038147       4.481493043654                    0                    0       8.731156740542                    0                   45    -0.06891708151042    -0.06891708151042
              MQTAOTE2         2660.4019155           48.1181067           -4.8487187       43.74669437478                    0                    0       42.54024820613      -4.420755442857                    0                    0        8.63126687051                    0                   45    -0.09084755459051    -0.09084755459051
               MQEAE44         2735.3901425           48.5050151           -5.6463304       56.39143899693                    0                    0       36.90743944182      -6.529565308736                    0                    0       8.609275895707                    0                   44      0.1625898658247      0.1625898658247
